2015-03-20 10:18:00,715 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\ComModule\target\classes\META-INF\maven\healassist\server.router\src\main\resources
2015-03-20 10:18:00,718 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:00,719 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\ComModule\target\classes\META-INF\maven\healassist\server.router\src\test\resources
2015-03-20 10:18:00,719 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.info.management.regsys:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\server.info.management.regsys\pom.xml.
2015-03-20 10:18:00,775 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:00,776 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\src\main\resources
2015-03-20 10:18:00,778 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:00,779 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\src\test\resources
2015-03-20 10:18:00,806 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.router:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\ComModule\target\classes\META-INF\maven\healassist\server.router\pom.xml.
2015-03-20 10:18:00,818 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for healassist:server.router:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-03-20 10:18:02,181 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,182 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.signaling\src\main\resources
2015-03-20 10:18:02,184 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,185 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.signaling\src\test\resources
2015-03-20 10:18:02,197 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,198 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\server.external.communication\src\main\resources
2015-03-20 10:18:02,200 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,201 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\server.external.communication\src\test\resources
2015-03-20 10:18:02,213 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,214 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\server.info.management.regsys\src\main\resources
2015-03-20 10:18:02,219 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,220 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\server.info.management.regsys\src\test\resources
2015-03-20 10:18:02,234 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,235 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\src\main\resources
2015-03-20 10:18:02,237 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-20 10:18:02,239 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\src\test\resources
